BranchID,BranchName,City,Region,ManagerName,OpenDate
B001,North Judithbury Branch,East Jill,North,Stephanie Miller,2019-02-24
B002,North Claytonbury Branch,New Jamesside,North,Jerry Ramirez,2022-12-15
B003,Port Lindachester Branch,Joshuaborough,East,Gabrielle Davis,2016-05-20
B004,Melanieview Branch,Lake Stephenville,South,Jamie Arnold,2022-08-13
B005,Barbaraland Branch,Lake Jeremyport,South,Dr. Sharon James,2019-06-02
B006,Franciscostad Branch,Lake Joseph,South,Maria Lynch,2017-01-06
B007,East Steven Branch,Veronicaside,North,Frederick Tate,2016-01-14
B008,Port Antonio Branch,Richardland,North,Tommy Walter,2018-03-28
B009,Lake Victor Branch,Thomasberg,West,Justin Baker,2020-07-14
B010,Hurstfurt Branch,Jeffreyberg,North,Ann Williams,2016-06-29
B011,Lake Ernest Branch,Carlsonfurt,North,Zachary Rice,2020-04-07
B012,Lake Jenniferside Branch,Kaylamouth,North,Jeffrey Chavez,2021-09-14
B013,Teresaburgh Branch,Port Colleenhaven,South,Brittany Farmer,2020-02-24
B014,New Mariotown Branch,West Natashaport,South,David Bradley,2016-03-25
B015,Lake Toddland Branch,East Donna,North,Carmen Rose,2020-09-20
B016,Brandtside Branch,Lake Larry,South,Marie Kim DDS,2016-08-03
B017,East Caleb Branch,New Angelashire,West,Benjamin Welch,2017-07-05
B018,North Micheleland Branch,West Elizabeth,South,Carlos Walls,2020-06-02
B019,Sanchezfort Branch,Leeville,West,Heather Jenkins,2022-11-28
B020,Lake Deniseville Branch,South Jessicaville,East,Connor West,2019-02-24
