CustomerID,Name,Gender,DOB,Occupation,IncomeLevel,Address,Contact,BranchID
C00001,Joel Baxter,Male,1954-09-10,Student,Medium,"80132 Tucker Forest, Barreraburgh, AL 51674",746-872-3430x980,B001
C00002,Amy Silva,Female,1983-10-13,Doctor,Low,"PSC 8208, Box 1219, APO AE 89002",619.399.0916,B011
C00003,Krystal Stewart,Male,1967-04-23,Engineer,Medium,"46247 Hickman Cliffs Apt. 799, North Amandahaven, DC 46246",354-278-4980,B011
C00004,Kristen Huynh,Female,1956-08-11,Teacher,High,"USNS Baker, FPO AE 97811",+1-244-935-3487,B004
C00005,Terry Williams,Male,1992-09-22,Student,Medium,"05242 Arnold Meadow Apt. 112, Port Mikeside, NE 17205",4505331586,B009
C00006,Nicole Frost,Male,1965-09-03,Business,Low,"0256 Joseph Turnpike, South Monicafort, ID 60833",(433)036-5414x586,B018
C00007,Sarah Rivera,Female,1951-06-11,Student,High,"94019 Reed Turnpike Suite 698, South Rachelborough, AZ 93402",(088)356-1595x14846,B018
C00008,Michael Spencer,Other,1962-08-14,Doctor,High,"299 Sullivan Village Apt. 443, Floydmouth, NV 58455",+1-387-214-8951x34332,B012
C00009,David Alvarez,Male,2007-05-22,Student,Low,"9367 Sanchez Shoal Apt. 163, Port Susan, NH 07083",+1-317-278-8957,B003
C00010,Michelle Wagner,Male,2006-01-30,Doctor,Low,"PSC 7277, Box 4348, APO AA 82650",471.434.5581,B010
C00011,David Benson,Female,1997-08-20,Business,High,"5876 Jamie Manor Suite 909, Woodsstad, WV 51617",(889)373-4670x65627,B013
C00012,Veronica Ferguson,Male,1976-05-17,Teacher,Medium,"62720 Gray Forest, Murphyfurt, WV 55756",170-805-3100x330,B012
C00013,Cynthia Wells,Other,1957-05-07,Teacher,High,"4529 Kimberly Estates, Danieltown, OK 89282",(631)931-4919x0586,B007
C00014,Andrea Holland,Other,1950-06-04,Student,Low,"65726 Jessica Run Suite 987, Grahamshire, MD 32678",473-799-6507,B003
C00015,Catherine Lewis,Other,2003-11-09,Doctor,Low,"480 Christopher Stravenue Suite 783, Brewerfort, WY 02761",436-349-5788,B018
C00016,Zachary Pierce,Female,1973-07-03,Teacher,High,"4313 Wilson Plain Apt. 337, Jennyhaven, LA 13677",435.240.8240,B015
C00017,Kristen Terry,Male,1958-02-26,Student,Medium,"09477 Peterson Center Suite 711, Vasquezshire, TX 07527",(294)131-8699,B018
C00018,Courtney Mills,Male,1980-03-21,Engineer,Medium,"PSC 4964, Box 9909, APO AP 13507",001-334-123-2812x06797,B002
C00019,David Mann,Female,1997-05-26,Engineer,Low,"349 Ronald Plains, Lake Edward, FL 09860",2499471746,B013
C00020,Kathryn Snyder,Other,1955-01-14,Teacher,Low,"594 Christopher Spring Apt. 490, South April, KY 24289",001-671-756-5512,B019
C00021,Michael Roberts,Female,1976-10-24,Student,Medium,"1545 Tara Lodge, Lake Mollymouth, AR 25087",597.703.4824x77109,B016
C00022,Michelle Collins,Female,1950-06-29,Doctor,Low,"17127 Hicks Groves, Davenportfort, NH 72756",(639)821-4658,B005
C00023,Aaron Barber,Other,2006-07-21,Teacher,High,"78755 Gibson Islands Apt. 396, Port Kimberly, MD 98110",662.702.8951x7187,B018
C00024,Charles Pitts,Female,1960-01-25,Retired,Medium,"9615 Finley Road Suite 809, East Crystalport, WA 12347",(117)240-0504x55623,B019
C00025,Kylie Sparks,Male,1961-02-16,Doctor,High,"379 Jesse Route Suite 740, Santanaside, CA 58399",(946)474-3671x369,B012
C00026,Edward Lyons,Male,1951-01-21,Engineer,Low,"Unit 6409 Box 0974, DPO AE 80070",(339)421-0470x952,B016
C00027,Edward Burgess,Other,1961-07-07,Doctor,High,"842 Sloan Orchard Suite 517, East Karenbury, TX 95425",+1-685-160-4817x54965,B005
C00028,David Johnson,Other,1987-10-07,Engineer,Medium,"174 Wilson Cape, West Wendyville, IA 70958",(675)869-2617,B014
C00029,Teresa Ramirez,Other,1996-07-15,Business,High,"3515 Brown Harbor Apt. 171, Lake Danielle, AR 44214",293.183.9335,B013
C00030,Rachel Carlson,Other,1968-06-06,Engineer,High,"84210 Alexis Turnpike, New Mario, KS 07369",(681)177-5891,B009
C00031,Daniel Gilbert,Other,1999-01-19,Retired,Medium,"0076 Parks Overpass Suite 115, North David, SC 77225",+1-569-847-8961,B004
C00032,Ashley Pena,Male,2001-11-21,Teacher,Medium,"7365 Ross Stream, West Ronaldview, FL 90524",111.161.5280x9885,B011
C00033,Jennifer Russo,Female,2000-08-14,Engineer,High,"9451 Eric Orchard, Port Daniel, OH 48677",493-689-9809,B006
C00034,Sandra Adams,Other,1961-11-03,Doctor,High,"5022 Jones Streets Apt. 183, Barnesmouth, MN 41347",001-599-102-2901x4767,B009
C00035,Jennifer Lewis,Other,1984-06-05,Teacher,High,"49784 Jeffrey Rapid Apt. 034, Port Derrick, LA 43508",076-226-8388,B004
C00036,Renee Jones,Other,2000-01-22,Doctor,Low,"1596 Mckinney Mall, Dariustown, GA 81519",516.136.9681x645,B017
C00037,Richard Jones,Male,1992-08-26,Retired,High,"5231 Jonathan Extensions, Port Katherine, HI 82807",799.799.5527x1774,B012
